"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Chemistry"
"PBMC, 68k scRNA-seq data","Single-cell RNA-seq data for human PBMC data. 68k dataset. Full rectangular, block-compressed format, 1GB block size.","TENxPBMCData/v1.0.0/pbmc68k_rectangular.h5","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/fresh_68k_pbmc_donor_a/fresh_68k_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","0c8c546cbadc8ea8eb45be6cfe040852","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","H5File","Gemcode"
"PBMC, 68k scRNA-seq sample (column) annotation","Single-cell RNA-seq data for human PBMC data. 68k dataset. Inferred sample descriptions.","TENxPBMCData/v1.0.0/pbmc68k_colData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/fresh_68k_pbmc_donor_a/fresh_68k_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","0c8c546cbadc8ea8eb45be6cfe040852","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, 68k scRNA-seq gene (row) annotation","Single-cell RNA-seq data for human PBMC data. 68k dataset. Gene descriptions.","TENxPBMCData/v1.0.0/pbmc68k_rowData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/fresh_68k_pbmc_donor_a/fresh_68k_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","0c8c546cbadc8ea8eb45be6cfe040852","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, Donor A scRNA-seq data","Single-cell RNA-seq data for human PBMC data. Donor A dataset. Full rectangular, block-compressed format, 1GB block size.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_a_rectangular.h5","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_a/frozen_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","9d0a60d7d51d45e16e7c04cdb509879f","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","H5File","Gemcode"
"PBMC, Donor A scRNA-seq sample (column) annotation","Single-cell RNA-seq data for human PBMC data. Donor A dataset. Inferred sample descriptions.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_a_colData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_a/frozen_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","9d0a60d7d51d45e16e7c04cdb509879f","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, Donor A scRNA-seq gene (row) annotation","Single-cell RNA-seq data for human PBMC data. Donor A dataset. Gene descriptions.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_a_rowData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_a/frozen_pbmc_donor_a_filtered_gene_bc_matrices.tar.gz","9d0a60d7d51d45e16e7c04cdb509879f","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, Donor B scRNA-seq data","Single-cell RNA-seq data for human PBMC data. Donor B dataset. Full rectangular, block-compressed format, 1GB block size.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_b_rectangular.h5","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_b/frozen_pbmc_donor_b_filtered_gene_bc_matrices.tar.gz","96bd95909d0409cce922800890805b6b","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","H5File","Gemcode"
"PBMC, Donor B scRNA-seq sample (column) annotation","Single-cell RNA-seq data for human PBMC data. Donor B dataset. Inferred sample descriptions.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_b_colData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_b/frozen_pbmc_donor_b_filtered_gene_bc_matrices.tar.gz","96bd95909d0409cce922800890805b6b","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, Donor B scRNA-seq gene (row) annotation","Single-cell RNA-seq data for human PBMC data. Donor B dataset. Gene descriptions.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_b_rowData.rds","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_b/frozen_pbmc_donor_b_filtered_gene_bc_matrices.tar.gz","96bd95909d0409cce922800890805b6b","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","Rds","Gemcode"
"PBMC, Donor C scRNA-seq data","Single-cell RNA-seq data for human PBMC data. Donor C dataset. Full rectangular, block-compressed format, 1GB block size.","TENxPBMCData/v1.0.0/frozen_pbmc_donor_c_rectangular.h5","3.8","hg19","tar.gz","http://cf.10xgenomics.com/samples/cell-exp/1.1.0/frozen_pbmc_donor_c/frozen_pbmc_donor_c_filtered_gene_bc_matrices.tar.gz","14654894a9f20704cef5db6301a0d793","Homo sapiens","9606",TRUE,"10X Genomics","Kasper D. Hansen <kasperdanielhansen@gmail.com>","character","H5File","Gemcode"
